Signature,Verify
42583504,1288392
42562076,1305446
42563251,1297122
42567086,1302377
42575128,1286265
42588134,1294549
42575555,1356395
42576139,1296439
42585336,1282088
42560107,1294222
42560475,1332748
42578672,1299708
42559426,1269714
42582212,1309521
42561429,1307079
42562594,1296064
42557156,1270888
42573470,1307398
42565292,1306278
42569024,1297784
42589875,1300592
42572048,1281399
42565101,1310251
42562592,1334343
42571418,1297340
42568765,1280455
42560874,1319256
42553766,1290381
42654838,1285057
42597207,1324307
42598334,1273211
42581995,1294448
42590091,1291478
42589704,1289418
42586795,1287100
42571235,1274867
42582290,1363535
42566478,1298248
42557671,1306885
42577613,1313570
42570729,1318317
42564699,1307698
42593066,1308431
42572237,1264239
42591446,1297311
42562458,1294879
42570015,1321911
42568439,1309855
42571024,1276734
42592800,1285805
42566230,1329367
42568262,1307694
42558820,1326336
42574464,1316811
42576326,1295058
42582929,1307660
42561670,1287832
42564355,1285715
42570052,1295294
42554587,1293089
42557147,1298739
42582584,1293268
42582080,1316018
42561702,1321018
42588116,1296556
42567808,1276849
42562564,1290902
42556528,1340122
42572051,1299209
42557550,1287364
42560329,1306581
42573752,1321220
42560217,1284912
42553117,1281479
42572771,1284588
42566779,1347288
42568665,1295317
42586274,1300865
42570082,1299220
42578451,1297921
42558110,1316349
42567847,1277237
42636579,1312649
42568318,1300603
42587315,1375440
42579167,1305531
42593455,1309882
42584215,1317385
42555721,1295811
42569597,1314858
42580528,1302403
42588822,1332015
42568668,1333242
42578251,1284220
42564924,1336673
42556592,1309312
42569475,1308928
42588311,1273141
42582204,1315839
42576322,1280731
42578533,1330554
42571677,1323414
42569782,1298376
42560221,1309549
42569040,1284585
42573319,1306274
42574654,1312274
42564474,1278276
42573127,1283365
42589490,1300217
42561408,1274504
42558114,1296976
42559929,1308428
42561697,1273038
42571455,1300026
42556337,1310766
42580823,1309777
42572572,1282925
42564655,1314552
42558226,1269148
42601480,1324821
42571347,1341176
42578980,1308597
42566781,1272452
42562456,1293446
42564704,1304451
42559143,1318445
42578266,1295220
42603492,1273419
42576667,1308010
42596049,1279264
42598035,1308617
42562113,1293117
42569778,1311655
42561621,1285987
42563979,1268913
42562181,1293386
42561795,1340699
42564000,1287165
42554113,1298006
42568952,1322724
42569164,1315532
42584747,1316579
42569048,1283785
42570500,1363798
42562088,1287352
42566996,1301347
42560808,1315455
42585575,1303683
42569540,1311163
42583970,1335301
42570435,1301925
42575871,1325899
42593333,1305579
42558801,1316969
42564105,1294284
42570464,1283572
42561860,1291481
42559562,1309805
42573530,1256855
42562991,1333478
42560427,1306160
42584502,1291705
42571194,1289949
42572206,1277377
42556409,1293856
42569933,1285893
42575536,1320856
42562501,1319612
42565934,1285752
42572350,1297060
42579055,1303117
42577168,1303664
42581050,1268618
42602639,1274901
42571329,1344907
42560987,1300426
42562290,1313641
42574148,1298994
42558230,1267950
42560545,1330600
42572360,1331910
42572600,1314158
42563252,1317031
42567550,1323657
42569790,1353277
42570332,1271804
42559749,1316206
42568221,1317946
42570027,1304643
42561128,1284664
42572562,1275372
42565210,1320859
42584801,1306685
42579281,1317441
42578096,1305781
42581470,1284053
42570809,1295318
42597948,1301018
42571483,1327840
42585658,1299157
42569851,1320449
42556996,1324203
42570295,1306879
42554154,1318002
42559894,1318051
42594793,1314384
42584935,1272976
42578936,1275127
42564214,1313026
42586343,1286261
42571359,1301030
42563534,1303471
42584491,1298738
42579956,1337514
42566880,1308175
42582801,1327616
42570196,1281701
42579531,1309085
42571628,1253700
42583867,1337749
42593802,1317823
42567496,1329733
42562719,1309242
42563751,1311543
42568540,1304839
42570329,1330829
42589177,1317859
42566037,1334090
42570637,1309540
42576926,1289225
42561105,1315372
42570422,1300997
42566197,1285924
42559827,1308478
42559837,1309282
42567805,1320236
42586859,1365966
42561189,1290878
42578254,1326422
42570785,1293147
42573754,1285812
42635907,1334618
42565926,1275008
42580500,1310160
42577008,1313462
