814712,3103184
776900,2972600
744394,2994859
702313,2995701
750879,3045796
762003,2962319
722569,3078225
748392,3041454
760156,2966672
766382,2994562
754256,2962476
736029,3083865
739032,3024203
788589,3093555
738658,3011646
731905,3033873
743002,3086488
751051,3000527
725131,3125129
782927,3106360
733765,2998687
765816,2975085
740410,3008730
750797,2958033
792902,3068348
748024,3062880
719182,3045772
722197,3020962
742497,3034087
738718,3082663
776547,3023991
799565,3023524
779748,2963674
767254,3062433
732709,3047908
718884,3080480
719692,2986959
708654,3093392
742402,3056791
771482,3110616
762583,3018813
763142,3009169
770558,3006734
699820,3123785
786154,3107888
772178,3059504
769898,3052626
747974,3045076
752461,2998126
721278,3154193
718310,3002375
721149,3031422
778731,3101353
807059,3007411
751096,3000048
715514,3043854
735034,3019185
781050,2985725
734507,3025054
717763,3096635
713729,3121842
735134,3113796
753541,3069017
713998,3051275
759946,3073409
737518,3058294
697152,3047671
732095,2992483
746974,2934109
757641,3073051
756465,3062201
749609,3048709
767041,2985532
706133,3005141
743348,2960542
790775,3049029
725719,3045528
706930,2969331
737624,3026126
741804,3039131
695146,3026299
685262,3063677
773396,3041464
761790,2961063
712470,2981061
742975,3057278
651774,3045374
731196,2994267
740517,3032173
736637,3062744
734615,3063154
683340,3025523
717962,3073040
750331,3050333
754293,3050760
740971,2978294
742734,3013070
731003,3064312
746209,3021167
733821,3086933
787781,2975216
808503,3067650
723183,3008571
731087,3021714
700401,2978798
768883,3027730
749407,3017515
765923,2999612
737469,3023108
743615,3093250
744817,3054902
780014,3064728
777789,3028383
781605,3020773
719062,2947911
705503,3038529
714910,2987714
755498,3060405
765606,3014501
771274,3029370
709349,2948943
682092,3012778
762040,3001607
731441,2991895
749989,3063559
729801,3051211
718478,3086946
740959,3011928
741597,3019963
771433,3004865
774584,2956564
738894,3049705
751097,3030497
735980,3073371
767101,3017357
722918,3006281
771492,2996666
710651,3077443
765364,3017572
768783,2991354
764523,3045240
734767,3026274
795210,3019271
750950,3020344
792112,2990604
769977,2970905
728350,2989191
709428,3078673
742285,3038787
743529,2985261
726592,2998955
777146,2992749
749401,3020089
731141,3004415
737970,3066813
745610,3038135
751165,3070120
727335,3023432
728057,2990408
712902,2988277
738235,3074867
781297,3061075
729223,3035981
766991,2987938
712234,3020068
736015,3070506
727277,3011472
746094,2989733
777708,2983696
715048,3058626
735730,3059572
743202,3033560
740093,3061339
733940,2994713
1020667,3403400
795082,3016993
735130,3033152
772725,3033256
769211,3021574
760675,3042396
753850,3001793
697712,3060825
704043,2982267
